"playlist_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","track.name","track.popularity","year"
"Pop",0.765,0.29,-17.117,0.139,0.0279,1.02e-06,0.394,0.506,"Killing Me Softly With His Song",79,1996
"Pop",0.82,0.937,-4.81,0.0551,0.135,0.000128,0.35,0.906,"Let's Get Loud",70,1999
"Pop",0.758,0.686,-6.346,0.0792,0.0848,0.00127,0.142,0.444,"On The Floor - Radio Edit",75,2011
"Pop",0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.0554,0.917,"Loca (feat. El Cata)",66,2010
"Pop",0.684,0.823,-3.297,0.0773,0.0744,0,0.111,0.647,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)",73,2017
"Pop",0.629,0.885,-4.508,0.0384,0.0532,0.00252,0.105,0.567,"Bailamos - From ""Wild Wild West""",61,1999
"Pop",0.763,0.777,-6.932,0.0364,0.281,0.78,0.134,0.929,"Daddy Cool",70,1976
"Pop",0.61,0.817,-9.45,0.133,0.296,0.00336,0.0884,0.889,"Rock Me Amadeus - The Gold Mix",62,1985
"Pop",0.773,0.849,-8.345,0.0587,0.057,0.0103,0.394,0.913,"Don't Be So Shy - Filatov & Karas Remix",57,2016
"Pop",0.649,0.647,-7.695,0.0452,0.0039,0.161,0.0686,0.405,"Hung Up",73,2005
"Pop",0.725,0.612,-10.706,0.0372,0.302,1.63e-05,0.0548,0.965,"La Isla Bonita",70,1986
"Pop",0.602,0.707,-4.097,0.218,0.393,0,0.165,0.554,"Human",56,2017
"Pop",0.565,0.745,-7.733,0.218,0.265,0,0.147,0.352,"Skin",57,2017
"Pop",0.835,0.669,-5.582,0.0643,0.0336,6.92e-05,0.0535,0.542,"Don't Stop The Music",77,2008
"Pop",0.579,0.739,-5.678,0.0413,0.0146,0,0.109,0.317,"Fallin",42,2018
"Pop",0.49,0.725,-3.304,0.0392,0.123,2.68e-05,0.0983,0.335,"Back To Black",72,2006
"Pop",0.653,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,"Fallin'",73,2001
"Pop",0.425,0.954,-3.756,0.0476,0.00411,0,0.0555,0.933,"Livin' la Vida Loca",73,1999
"Pop",0.694,0.719,-12.734,0.048,0.47,0.00121,0.394,0.972,"Rasputin - 7"" Version",62,1984
"Pop",0.746,0.76,-6.009,0.105,0.0342,2.18e-05,0.31,0.902,"Ma Baker",59,1977
"Pop",0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,"Billie Jean",83,1982
"Pop",0.877,0.854,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,"The Way You Make Me Feel - 2012 Remaster",73,1987
"Pop",0.93,0.607,-10.387,0.0457,0.0525,5.27e-06,0.039,0.95,"Der Kommissar",60,1982
"Pop",0.73,0.77,-5.114,0.0298,0.138,0,0.0473,0.507,"Rolling in the Deep",77,2011
"Pop",0.564,0.71,-4.92,0.0461,0.00125,0,0.109,0.393,"Diamonds",75,2012
"Pop",0.47,0.904,-4.024,0.177,0.0436,0,0.0491,0.557,"Man Down",69,2010
"Pop",0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,0.575,"On The Floor",72,2011
"Pop",0.655,0.933,-7.703,0.0536,0.00332,0.0365,0.0983,0.472,"It's My Life",69,1992
"Pop",0.847,0.695,-8.909,0.153,0.121,0,0.104,0.645,"No Coke - 7"" Mix",47,1997
"Pop",0.831,0.851,-9.104,0.0455,0.000539,0.34,0.224,0.987,"It's My Life - Remix",60,1992
"Pop",0.748,0.414,-15.15,0.0405,0.069,0.0671,0.336,0.239,"Big in Japan",66,1984
"Pop",0.832,0.838,-5.414,0.0421,0.0791,0,0.152,0.965,"Coco Jamboo",72,1996
"Pop",0.756,0.887,-8.672,0.0398,0.00211,0.000375,0.095,0.646,"Coco Jamboo - Mousse T.'s Extended Club Mix",41,1996
"Pop",0.835,0.679,-10.539,0.0322,0.137,0.476,0.0611,0.936,"Boys - Summertime Love",56,1988
"Pop",0.381,0.588,-6.637,0.043,0.22,0,0.147,0.634,"Lost On You - Live at Harvard and Stone",42,2017
"Pop",0.701,0.425,-10.965,0.218,0.328,0.13,0.1,0.562,"bad guy",88,2019
"Pop",0.843,0.391,-7.899,0.0845,0.181,0,0.137,0.496,"Lalala",1,2019
"Pop",0.615,0.814,-3.903,0.0677,0.17,0,0.218,0.577,"Walk",63,2015
"Pop",0.734,0.76,-5.267,0.0415,0.0232,0,0.127,0.685,"Fading",63,2018
"Pop",0.774,0.753,-5.446,0.0517,0.152,0,0.0371,0.896,"Cake By The Ocean",79,2016
"Pop",0.702,0.844,-4.054,0.0769,0.0294,0,0.38,0.786,"La Cintura",2,2018
"Pop",0.744,0.739,-5.35,0.0387,0.00459,0,0.306,0.649,"Friends (with BloodPop®)",5,2017
"Pop",0.653,0.816,-4.353,0.167,0.228,0,0.0967,0.816,"Despacito - Remix",74,2017
"Pop",0.823,0.346,-10.619,0.0761,0.0922,2.78e-06,0.113,0.4,"Wait For A Minute",0,2013
"Pop",0.651,0.612,-7.402,0.0358,0.476,1.77e-06,0.127,0.371,"You Will Never Know",36,2011
"Pop",0.814,0.686,-12.172,0.0342,0.219,0.00382,0.155,0.778,"Self Control",71,1984
"Pop",0.843,0.946,-7.041,0.0791,0.676,0.000375,0.119,0.808,"Arranca - Latin Version",26,2014
"Pop",0.748,0.414,-15.15,0.0405,0.069,0.0671,0.336,0.239,"Big In Japan - Original",0,1984
"Pop",0.606,0.913,-6.039,0.0351,0.246,0.00696,0.34,0.838,"Voyage voyage",67,2001
"Pop",0.542,0.735,-5.019,0.0481,0.322,0,0.394,0.907,"I Love Rock n' Roll",0,2013
"Pop",0.779,0.635,-8.028,0.0282,0.577,0.000258,0.215,0.53,"I Like Chopin",61,1994
"Pop",0.862,0.401,-12.088,0.0374,0.0512,0.00607,0.18,0.8,"I Want To Break Free",0,1984
"Pop",0.637,0.451,-13.065,0.0305,0.0138,6.38e-06,0.12,0.388,"Love Is A Shield - Single Version",55,1997
"Pop",0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,"Another One Bites The Dust - Remastered 2011",81,1980
"Pop",0.749,0.491,-9.655,0.0403,0.02,0.00899,0.159,0.536,"Gimme! Gimme! Gimme! (A Man After Midnight)",75,1979
"Pop",0.787,0.704,-6.873,0.0385,0.535,0.00305,0.089,0.646,"Money, Money, Money",59,1976
"Pop",0.733,0.794,-10.023,0.0307,0.0614,0.0367,0.33,0.931,"Sultans Of Swing",80,1978
"Pop",0.647,0.868,-6.427,0.105,0.0876,0.124,0.129,0.803,"Sunny",69,1976
"Pop",0.781,0.936,-5.843,0.0293,0.286,0.0522,0.303,0.98,"Gotta Go Home",57,1979
"Pop",0.7,0.452,-19.789,0.0369,0.0992,0.00324,0.147,0.917,"Stayin' Alive",0,1983
"Pop",0.797,0.738,-13.87,0.0341,0.00254,0.132,0.0433,0.964,"Hot Stuff",0,1987
"Pop",0.565,0.543,-8.505,0.0376,0.0839,0.0521,0.0867,0.486,"Hot Love - A Side",0,1971
"Pop",0.666,0.736,-8.168,0.193,0.135,0,0.203,0.766,"As",0,1998
"Pop",0.574,0.629,-8.815,0.0363,0.128,0,0.271,0.786,"Careless Whisper",0,1998
"Pop",0.659,0.893,-8.324,0.076,0.0211,0.308,0.394,0.756,"Too Funky",0,1998
"Pop",0.915,0.498,-10.435,0.102,0.00556,0.000116,0.067,0.555,"Faith",0,1998
"Pop",0.843,0.829,-4.685,0.054,0.00221,0.0427,0.0921,0.359,"Jam On It - 12-Inch Vocal",33,1984
"Pop",0.943,0.803,-3.972,0.182,0.336,0,0.106,0.836,"The Message (Re-Recorded)",34,2008
"Pop",0.796,0.381,-20.323,0.126,0.0236,0.863,0.0772,0.555,"Axel F - From ""Beverly Hills Cop"" Soundtrack",45,1984
"Pop",0.844,0.523,-13.277,0.0872,0.0846,3.25e-05,0.0729,0.772,"White Lines (Don't Do It)",5,2019
"Pop",0.74,0.498,-6.684,0.0456,0.0169,0.00282,0.319,0.652,"Liar",75,2019
"Pop",0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,"Dance Monkey",4,2019
"Pop",0.759,0.54,-6.039,0.0287,0.037,0,0.0945,0.75,"Señorita",85,2019
"Pop",0.733,0.859,-5.03,0.033,0.479,0.0645,0.105,0.52,"All Around The World (La La La)",78,2019
"Pop",0.67,0.453,-11.265,0.218,0.252,0.33,0.117,0.68,"bad guy (with Justin Bieber)",75,2019
"Pop",0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,"Ride It",87,2019
"Pop",0.916,0.411,-7.523,0.0657,0.159,1.1e-05,0.0989,0.407,"Oblivion (feat. Amber Van Day)",57,2019
"Pop",0.581,0.963,-4.087,0.0981,0.0295,0,0.139,0.788,"Timber (feat. Ke$ha)",79,2012
"Pop",0.777,0.601,-5.931,0.126,0.0406,0.00201,0.0348,0.68,"Maria Maria (feat. The Product G&B)",67,1999
"Pop",0.397,0.773,-5.931,0.0456,0.322,0.553,0.27,0.844,"Love of My Life (feat. Dave Matthews & Carter Beauford)",50,1999
"Pop",0.606,0.834,-6.101,0.0369,0.0155,0.0244,0.133,0.459,"Put Your Lights On (feat. Everlast)",54,1999
"Pop",0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,"Smooth (feat. Rob Thomas)",69,1999
"Pop",0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,"(I Just) Died In Your Arms",73,1986
"Pop",0.692,0.711,-7.498,0.0317,0.225,0,0.12,0.875,"Sweet Dreams (Are Made of This) - Remastered",81,1983
"Pop",0.633,0.754,-6.1,0.0316,0.196,0.0205,0.276,0.858,"Japan ist weit",44,2016
"Pop",0.754,0.366,-10.07,0.0312,0.273,9.04e-05,0.106,0.469,"Black Velvet",71,1989
"Pop",0.589,0.679,-5.628,0.0336,0.0253,0.00584,0.167,0.716,"Save Me",40,2018
"Pop",0.648,0.771,-4.656,0.0291,0.112,0,0.253,0.448,"Crawl",27,2018
"Pop",0.834,0.479,-9.839,0.0372,0.0987,0.0118,0.0738,0.65,"Wolf Den",25,2015
"Pop",0.852,0.666,-6.923,0.184,0.135,0,0.394,0.726,"Remember The Name (feat. Eminem & 50 Cent)",72,2019
"Pop",0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1,"'Till I Collapse",84,2002
"Pop",0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662,"Without Me",83,2002
"Pop",0.749,0.925,-5.034,0.218,0.241,0,0.394,0.641,"Love The Way You Lie",82,2010
"Pop",0.723,0.786,-5.094,0.218,0.0521,0,0.318,0.516,"Guilty Conscience",53,1999
"Pop",0.692,0.744,-4.565,0.218,0.00868,0.000423,0.359,0.0612,"Lose Yourself - From ""8 Mile"" Soundtrack",77,2005
"Pop",0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,"Sing For The Moment",72,2002
"Pop",0.689,0.735,-4.545,0.218,0.00922,0.00072,0.365,0.059,"Lose Yourself",70,2014
"Pop",0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,"Cruel Summer",74,2019
"Pop",0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,"Dance Monkey",70,2019
"Pop",0.759,0.548,-6.049,0.029,0.0392,0,0.0828,0.749,"Señorita",82,2019
"Pop",0.751,0.731,-4.419,0.0308,0.0838,0,0.0556,0.973,"La Camisa Negra",0,2004
"Pop",0.871,0.481,-9.068,0.0383,0.52,5.54e-05,0.0809,0.664,"La flaca",64,2006
"Pop",0.659,0.802,-4.79,0.148,0.208,0,0.123,0.863,"Despacito (Featuring Daddy Yankee)",64,2017
"Pop",0.743,0.844,-7.967,0.0568,0.0448,0.0201,0.041,0.92,"Formas De Amor",0,1995
"Pop",0.715,0.937,-6.613,0.0388,0.00571,0.0415,0.0958,0.897,"Una Noche Más",0,1999
"Pop",0.711,0.875,-2.211,0.104,0.211,0.000198,0.0862,0.922,"Me Enamoré",0,2017
"Pop",0.79,0.852,-4.966,0.0757,0.258,0.0346,0.203,0.826,"Sexy Bonita",49,2019
"Pop",0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,"Chantaje (feat. Maluma)",75,2017
"Pop",0.75,0.76,-4.836,0.198,0.187,0,0.0548,0.893,"Perro Fiel (feat. Nicky Jam)",69,2017
"Pop",0.793,0.832,-4.862,0.0406,0.236,1.12e-05,0.202,0.872,"Whenever, Wherever",75,2001
"Pop",0.63,0.414,-8.076,0.0352,0.887,0.00011,0.0975,0.474,"Lo Que Más",49,2010
"Pop",0.792,0.73,-5.376,0.0698,0.0623,2.66e-05,0.089,0.616,"Dare (La La La)",56,2014
"Pop",0.916,0.723,-8.568,0.0951,0.367,0.000134,0.0873,0.793,"Could You Be Loved",0,2007
"Pop",0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.76,"Could You Be Loved",76,1980
"Pop",0.934,0.467,-10.99,0.218,0.102,3.98e-05,0.109,0.73,"Jamming",73,1977
"Pop",0.898,0.271,-12.238,0.091,0.0135,0.00138,0.0461,0.742,"Kiss",73,1986
"Pop",0.486,0.45,-10.298,0.0267,0.166,2.06e-06,0.394,0.55,"Starman - 2012 Remaster",73,1972
"Pop",0.633,0.816,-11.223,0.0408,0.199,4.86e-06,0.394,0.606,"Live Is Life",59,1997
"Pop",0.816,0.882,-4.544,0.0454,0.339,0.000842,0.086,0.862,"In Janeiro",25,2019
"Pop",0.786,0.816,-4.938,0.0414,0.0013,0.22,0.0994,0.514,"Some French",10,2019
"Pop",0.353,0.917,-4.926,0.0456,0.0111,0.719,0.331,0.447,"We Found Love",36,2019
"Pop",0.672,0.944,-2.781,0.0481,0.0386,0.153,0.0455,0.464,"The Rhythm of the Night",63,2019
"Pop",0.706,0.94,-4.908,0.0425,0.0232,0.833,0.286,0.733,"Fever Clip",38,2019
"Pop",0.811,0.712,-9.184,0.218,0.148,0.288,0.394,0.745,"We Ain't Going Home",38,2019
"Pop",0.742,0.883,-3.419,0.0329,0.333,7.51e-06,0.0964,0.978,"Material Girl",72,2009
"Pop",0.814,0.683,-7.091,0.218,0.0596,1.92e-05,0.394,0.473,"Medellín (with Maluma)",61,2019
"Pop",0.773,0.656,-10.88,0.0381,0.202,0.00323,0.0697,0.971,"Like a Virgin",72,1984
"Pop",0.624,0.842,-5.285,0.0376,0.264,2.11e-05,0.181,0.257,"Like a Prayer",71,2009
"Pop",0.748,0.914,-4.631,0.0831,0.0196,0.0284,0.192,0.726,"All For You",52,2001
"Pop",0.739,0.947,-1.915,0.0412,0.00947,2.99e-05,0.326,0.763,"He Wasn't Man Enough",51,2000
"Pop",0.852,0.563,-8.663,0.0377,0.0117,1.96e-05,0.119,0.893,"You're Makin' Me High",58,1996
"Pop",0.663,0.92,-4.07,0.218,0.00431,1.69e-05,0.101,0.533,"Vente Pa' Ca (feat. Maluma)",73,2016
"Pop",0.725,0.903,-2.955,0.0658,0.0344,0,0.183,0.946,"La Mordidita (feat. Yotuel)",69,2015
"Pop",0.748,0.849,-3.24,0.14,0.0728,0,0.351,0.621,"Fiebre (feat. Wisin & Yandel)",56,2018
"Pop",0.804,0.624,-8.597,0.142,0.0569,0,0.253,0.339,"Don't Make Me Wait (with Shaggy)",55,2018
